POC,Nwk_Code,Generation_Type,Trader,Unit_Measure,Flow_Direction,Status,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,704.0000,1191.0000,1320.0000,1406.0000,1380.0000,1415.0000,1506.0000,1564.0000,1548.0000,1599.0000,1620.0000,1513.0000,1410.0000,90.0000,0.0000,0.0000,0.0000,0.0000,901.0000,1426.0000,1463.0000,1428.0000,1387.0000,1407.0000,1450.0000,1412.0000,1431.0000,1516.0000,1521.0000,98.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,935.0000,1443.0000,1406.0000,1374.0000,1593.0000,1679.0000,1680.0000,1685.0000,1713.0000,1733.0000,1693.0000,1765.0000,114.0000,0.0000,0.0000,0.0000,1124.0000,1701.0000,1747.0000,1691.0000,1645.0000,1635.0000,1720.0000,1715.0000,1724.0000,1759.0000,423.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1032.0000,1588.0000,1571.0000,1589.0000,1751.0000,1771.0000,1783.0000,1787.0000,1818.0000,1784.0000,108.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1069.0000,1660.0000,1634.0000,1633.0000,1592.0000,1634.0000,1684.0000,1640.0000,1640.0000,1659.0000,1683.0000,1749.0000,1856.0000,123.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,961.0000,1520.0000,1545.0000,1591.0000,1684.0000,1777.0000,1792.0000,1808.0000,1842.0000,1816.0000,1771.0000,1813.0000,116.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1065.0000,1689.0000,1617.0000,1630.0000,1667.0000,1667.0000,1664.0000,1668.0000,1570.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,997.0000,1622.0000,1612.0000,1655.0000,1753.0000,1787.0000,114.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1132.0000,1750.0000,1643.0000,1656.0000,1705.0000,1706.0000,1720.0000,1733.0000,108.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1036.0000,1724.0000,1764.0000,1763.0000,1848.0000,1867.0000,1863.0000,1861.0000,115.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1218.0000,1878.0000,1849.0000,1853.0000,1824.0000,1863.0000,1856.0000,1834.0000,1826.0000,1887.0000,117.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1128.0000,1783.0000,1756.0000,1701.0000,1776.0000,1835.0000,1815.0000,1786.0000,131.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1053.0000,1680.0000,1613.0000,1575.0000,1483.0000,1510.0000,1608.0000,1531.0000,1523.0000,1599.0000,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,991.0000,1631.0000,1623.0000,1653.0000,1734.0000,1761.0000,1768.0000,1742.0000,117.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1073.0000,1727.0000,1750.0000,1765.0000,1733.0000,1748.0000,1785.0000,1728.0000,1725.0000,1800.0000,125.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,643.0000,1638.0000,1604.0000,1590.0000,1619.0000,1571.0000,1563.0000,1623.0000,1642.0000,1623.0000,1662.0000,107.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1046.0000,1670.0000,1679.0000,1704.0000,1641.0000,1652.0000,1724.0000,1737.0000,1739.0000,1793.0000,1794.0000,1812.0000,1860.0000,1819.0000,1792.0000,118.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,210.0000,1562.0000,1518.0000,1477.0000,1503.0000,1541.0000,1531.0000,1582.0000,1557.0000,104.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000.0000,1607.0000,1598.0000,1609.0000,1576.0000,1650.0000,1669.0000,1619.0000,1599.0000,1643.0000,1632.0000,1660.0000,1724.0000,1703.0000,1714.0000,125.0000,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,2023-12-11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,858.0000,1387.0000,1394.0000,1442.0000,1427.0000,1477.0000,1560.0000,1636.0000,1593.0000,1482.0000,104.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,872.0000,1422.0000,1459.0000,1421.0000,1395.0000,1407.0000,1445.0000,1439.0000,1420.0000,1477.0000,1478.0000,1464.0000,1495.0000,1503.0000,107.0000,0.0000,,
